"","Nest_Code","Day_of_trial","Daily_score","Predator","Treatment","Round_of_experiment","Start_date_of_trial","Site","GPS_coordinates","Number_of_trees_within_20m","Distance_to_path","Distance_to_building","Distance_to_edge_of_heath","Heath_degradation_Score","Removed_YN"
"136","15D",2,0,NA,"Experimental","R3","25/08/2019","S2","(50.7646254, -1.9601858)",15,109,805,195,0,"N"
"137","15D",3,0,NA,"Experimental","R3","25/08/2019","S2","(50.7646254, -1.9601858)",15,109,805,195,0,"N"
"138","15D",4,2,"Unidentified","Experimental","R3","25/08/2019","S2","(50.7646254, -1.9601858)",15,109,805,195,0,"N"
"139","15D",5,0,NA,"Experimental","R3","25/08/2019","S2","(50.7646254, -1.9601858)",15,109,805,195,0,"N"
"140","15D",6,2,"Unidentified","Experimental","R3","25/08/2019","S2","(50.7646254, -1.9601858)",15,109,805,195,0,"N"
"141","15D",7,0,NA,"Experimental","R3","25/08/2019","S2","(50.7646254, -1.9601858)",15,109,805,195,0,"N"
"142","16B",1,4,"Rodent","Control","R1","01/08/2019","S2","(50.7645541, -1.9604386)",3,105,825,201,1,"N"
"143","16B",2,0,NA,"Control","R1","01/08/2019","S2","(50.7645541, -1.9604386)",3,105,825,201,1,"N"
"144","16B",3,0,NA,"Control","R1","01/08/2019","S2","(50.7645541, -1.9604386)",3,105,825,201,1,"N"
"145","16B",4,0,NA,"Control","R1","01/08/2019","S2","(50.7645541, -1.9604386)",3,105,825,201,1,"N"
"146","16B",5,NA,"Large_Mammal/Bird","Control","R1","01/08/2019","S2","(50.7645541, -1.9604386)",3,105,825,201,1,"Y"
"147","16C",1,0,NA,"Control","R2","12/08/2019","S4","(50.7558094, -1.9471238)",0,9,295,185,3,"N"
"148","16C",2,3,"Rodent","Control","R2","12/08/2019","S4","(50.7558094, -1.9471238)",0,9,295,185,3,"N"
"149","16C",3,0,NA,"Control","R2","12/08/2019","S4","(50.7558094, -1.9471238)",0,9,295,185,3,"N"
"150","16C",4,3,"Rodent","Control","R2","12/08/2019","S4","(50.7558094, -1.9471238)",0,9,295,185,3,"N"
"151","16C",5,2,"Rodent","Control","R2","12/08/2019","S4","(50.7558094, -1.9471238)",0,9,295,185,3,"N"
"152","16C",6,0,NA,"Control","R2","12/08/2019","S4","(50.7558094, -1.9471238)",0,9,295,185,3,"N"
"153","16C",7,1,"Unidentified","Control","R2","12/08/2019","S4","(50.7558094, -1.9471238)",0,9,295,185,3,"N"
"154","16D",1,0,NA,"Control","R3","25/08/2019","S2","(50.7646373, -1.9610649)",10,47,850,200,0,"N"
"155","16D",2,0,NA,"Control","R3","25/08/2019","S2","(50.7646373, -1.9610649)",10,47,850,200,0,"N"
"156","16D",3,1,"Unidentified","Control","R3","25/08/2019","S2","(50.7646373, -1.9610649)",10,47,850,200,0,"N"
"157","16D",4,0,NA,"Control","R3","25/08/2019","S2","(50.7646373, -1.9610649)",10,47,850,200,0,"N"
"158","16D",5,0,NA,"Control","R3","25/08/2019","S2","(50.7646373, -1.9610649)",10,47,850,200,0,"N"
"159","16D",6,0,NA,"Control","R3","25/08/2019","S2","(50.7646373, -1.9610649)",10,47,850,200,0,"N"
"160","16D",7,0,NA,"Control","R3","25/08/2019","S2","(50.7646373, -1.9610649)",10,47,850,200,0,"N"
"161","17B",1,4,"Rodent","Experimental","R1","01/08/2019","S2","(50.7646069, -1.9607494)",4,93,840,195,1,"N"
"162","17B",2,0,NA,"Experimental","R1","01/08/2019","S2","(50.7646069, -1.9607494)",4,93,840,195,1,"N"
"163","17B",3,0,NA,"Experimental","R1","01/08/2019","S2","(50.7646069, -1.9607494)",4,93,840,195,1,"N"
"164","17B",4,0,NA,"Experimental","R1","01/08/2019","S2","(50.7646069, -1.9607494)",4,93,840,195,1,"N"
"165","17B",5,NA,"Large_Mammal/Bird","Experimental","R1","01/08/2019","S2","(50.7646069, -1.9607494)",4,93,840,195,1,"Y"
"166","17C",1,0,NA,"Experimental","R2","12/08/2019","S4","(50.7563410, -1.9454907)",1,9,230,175,0,"N"
"167","17C",2,3,"Rodent","Experimental","R2","12/08/2019","S4","(50.7563410, -1.9454907)",1,9,230,175,0,"N"
"168","17C",3,4,"Rodent","Experimental","R2","12/08/2019","S4","(50.7563410, -1.9454907)",1,9,230,175,0,"N"
"169","17C",4,0,NA,"Experimental","R2","12/08/2019","S4","(50.7563410, -1.9454907)",1,9,230,175,0,"N"
"170","17C",5,2,"Rodent","Experimental","R2","12/08/2019","S4","(50.7563410, -1.9454907)",1,9,230,175,0,"N"
"171","17C",6,0,NA,"Experimental","R2","12/08/2019","S4","(50.7563410, -1.9454907)",1,9,230,175,0,"N"
"172","17C",7,0,NA,"Experimental","R2","12/08/2019","S4","(50.7563410, -1.9454907)",1,9,230,175,0,"N"
"173","17D",1,2,"Rodent","Experimental","R3","25/08/2019","S2","(50.7648896, -1.9619286)",2,38,860,188,0,"N"
"174","17D",2,0,NA,"Experimental","R3","25/08/2019","S2","(50.7648896, -1.9619286)",2,38,860,188,0,"N"
"175","17D",3,0,NA,"Experimental","R3","25/08/2019","S2","(50.7648896, -1.9619286)",2,38,860,188,0,"N"
"176","17D",4,0,NA,"Experimental","R3","25/08/2019","S2","(50.7648896, -1.9619286)",2,38,860,188,0,"N"
"177","17D",5,0,NA,"Experimental","R3","25/08/2019","S2","(50.7648896, -1.9619286)",2,38,860,188,0,"N"
"178","17D",6,0,NA,"Experimental","R3","25/08/2019","S2","(50.7648896, -1.9619286)",2,38,860,188,0,"N"
"179","17D",7,0,NA,"Experimental","R3","25/08/2019","S2","(50.7648896, -1.9619286)",2,38,860,188,0,"N"
"180","18B",1,3,"Rodent","Control","R1","01/08/2019","S2","(50.7643987, -1.9609486)",6,101,860,222,1,"N"
"181","18B",2,1,"Unidentified","Control","R1","01/08/2019","S2","(50.7643987, -1.9609486)",6,101,860,222,1,"N"
"182","18B",3,NA,"Large_Mammal/Bird","Control","R1","01/08/2019","S2","(50.7643987, -1.9609486)",6,101,860,222,1,"Y"
"183","18C",1,3,"Rodent","Experimental","R2","12/08/2019","S4","(50.7563847, -1.9439464)",20,14,180,74,3,"N"
"184","18C",2,0,NA,"Experimental","R2","12/08/2019","S4","(50.7563847, -1.9439464)",20,14,180,74,3,"N"
